id,host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
16326,63588,Brooklyn,Prospect Heights,Entire home/apt,200,30,143,1.33,297
16338,63613,Brooklyn,Clinton Hill,Private room,55,7,27,0.23,292
16421,63924,Manhattan,Hell's Kitchen,Private room,52,30,191,1.65,191
16458,64056,Brooklyn,Park Slope,Entire home/apt,225,3,4,0.16,0
16580,64442,Manhattan,East Village,Private room,80,1,338,4.72,72
16595,64522,Brooklyn,Williamsburg,Entire home/apt,275,1,148,1.4,362
16821,4396,Manhattan,East Village,Private room,99,1,106,1.26,336
16974,65837,Manhattan,East Harlem,Entire home/apt,225,4,190,1.64,215
17037,66035,Manhattan,East Village,Entire home/apt,230,9,49,0.43,116
17092,66243,Manhattan,Hell's Kitchen,Private room,51,7,23,0.43,88
17693,68428,Manhattan,Washington Heights,Private room,65,2,49,1.6,336
17747,68599,Brooklyn,Clinton Hill,Private room,105,2,105,0.92,304
18127,69829,Manhattan,East Village,Entire home/apt,190,5,21,0.2,224
18152,69942,Manhattan,Upper East Side,Private room,200,1,142,1.5,322
18198,70091,Queens,Woodside,Private room,70,30,25,0.22,324
18590,71512,Brooklyn,Fort Greene,Private room,95,3,143,1.28,132
18728,71876,Manhattan,Chelsea,Private room,150,3,167,1.65,295
18764,72014,Brooklyn,Williamsburg,Private room,145,3,61,0.54,238
19159,73051,Manhattan,Harlem,Entire home/apt,110,31,54,0.49,209
19169,73128,Manhattan,Lower East Side,Entire home/apt,285,5,70,0.62,328
19282,73469,Brooklyn,Flatbush,Entire home/apt,130,6,16,0.15,38
19319,44263,Manhattan,Lower East Side,Private room,94,30,94,0.84,188
19601,74303,Brooklyn,Brooklyn Heights,Entire home/apt,800,1,25,0.24,7
19812,74857,Brooklyn,Williamsburg,Entire home/apt,105,3,61,0.53,272
20299,62407,Manhattan,East Village,Private room,60,3,194,1.73,26
20300,76627,Manhattan,East Village,Private room,50,1,2,0.05,0
20611,72014,Brooklyn,Williamsburg,Private room,85,3,174,1.54,288
20724,961342,Brooklyn,Bushwick,Private room,65,4,24,0.28,317
20734,78460,Brooklyn,Prospect Heights,Entire home/apt,131,4,166,3.4,207
20755,51038,Brooklyn,Clinton Hill,Private room,98,7,16,0.2,185
20853,79070,Brooklyn,Prospect Heights,Entire home/apt,250,7,21,0.3,158
20913,79402,Brooklyn,Williamsburg,Entire home/apt,100,5,168,1.57,0
21293,44145,Brooklyn,Bushwick,Entire home/apt,105,3,118,1.05,9
21456,42032,Manhattan,Upper West Side,Entire home/apt,140,3,81,0.71,198
21644,82685,Manhattan,Harlem,Private room,89,1,1,0.11,365
21794,83257,Manhattan,Chelsea,Private room,98,30,30,0.27,364
22911,87773,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,7,139,1.23,311
22918,32294,Manhattan,Harlem,Private room,60,3,11,0.87,219
23135,11481,Brooklyn,Carroll Gardens,Entire home/apt,175,2,233,2.09,342
23501,63318,Manhattan,Washington Heights,Private room,65,2,68,0.6,312
23686,93790,Manhattan,West Village,Entire home/apt,500,4,46,0.55,243
24143,97219,Brooklyn,Williamsburg,Private room,101,3,335,3.02,152
24285,97797,Brooklyn,Park Slope,Entire home/apt,220,30,88,0.79,9
25235,87773,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,90,162,1.46,137
25406,105538,Brooklyn,Williamsburg,Entire home/apt,80,30,29,0.4,222
25696,107628,Manhattan,Harlem,Private room,100,2,170,1.61,346
26012,109589,Brooklyn,Gowanus,Entire home/apt,200,30,19,0.2,208
26362,59734,Manhattan,Hell's Kitchen,Private room,59,2,334,3.0,279
26520,51038,Brooklyn,Clinton Hill,Private room,125,2,19,0.2,250
26559,112793,Manhattan,East Village,Entire home/apt,140,7,12,0.13,164
26785,42273,Brooklyn,South Slope,Entire home/apt,120,30,467,4.22,192
26933,72062,Manhattan,East Village,Entire home/apt,350,2,7,0.06,298
26954,115157,Manhattan,Kips Bay,Entire home/apt,199,5,38,0.38,260
26969,115307,Brooklyn,Williamsburg,Entire home/apt,325,3,324,3.01,107
27006,115560,Manhattan,Upper West Side,Entire home/apt,235,6,27,0.27,199
27385,72062,Manhattan,East Village,Entire home/apt,225,1,115,1.05,299
27531,118971,Brooklyn,South Slope,Private room,99,2,354,3.2,20
27644,119510,Manhattan,Harlem,Entire home/apt,170,2,195,2.03,318
27659,119588,Brooklyn,South Slope,Entire home/apt,400,2,16,0.24,216
27759,119900,Manhattan,Upper West Side,Entire home/apt,170,7,13,0.12,224
27883,120223,Manhattan,East Village,Entire home/apt,100,4,25,0.23,0
28321,65091,Brooklyn,Prospect-Lefferts Gardens,Private room,75,2,9,0.08,324
28396,6197784,Brooklyn,Williamsburg,Private room,90,1,9,0.08,245
28907,124352,Manhattan,Upper East Side,Entire home/apt,150,5,21,0.19,189
29012,124797,Manhattan,Washington Heights,Private room,85,15,36,0.33,307
29013,35935,Brooklyn,Bedford-Stuyvesant,Private room,70,3,63,0.58,310
29455,126607,Manhattan,Harlem,Entire home/apt,120,3,155,1.42,213
29628,127608,Brooklyn,Clinton Hill,Private room,89,3,260,2.35,278
29683,125857,Manhattan,East Village,Entire home/apt,185,5,73,0.66,209
30031,129352,Brooklyn,Greenpoint,Private room,50,3,193,1.86,0
30927,120335,Manhattan,Lower East Side,Entire home/apt,105,3,32,0.29,16
31130,117287,Manhattan,Hell's Kitchen,Private room,130,2,50,0.45,234
31555,135619,Manhattan,West Village,Entire home/apt,115,29,26,0.25,12
31902,137292,Brooklyn,Flatlands,Private room,77,2,2,0.02,178
31994,137814,Brooklyn,Clinton Hill,Private room,76,2,426,3.89,275
32023,137974,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,3,227,2.09,163
32037,116599,Brooklyn,Clinton Hill,Private room,135,4,84,0.77,365
32100,138579,Brooklyn,Greenpoint,Entire home/apt,250,29,3,0.03,34
32289,139612,Brooklyn,Williamsburg,Entire home/apt,199,3,10,0.1,280
32331,139874,Brooklyn,Cobble Hill,Entire home/apt,140,2,4,0.04,0
32363,140025,Queens,Flushing,Private room,140,2,1,0.01,1
32965,137974,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,124,1.72,170
32969,142833,Brooklyn,Williamsburg,Entire home/apt,160,3,11,0.11,188
33009,143027,Brooklyn,Williamsburg,Entire home/apt,195,4,240,2.19,214
33014,143048,Manhattan,East Village,Entire home/apt,195,3,30,0.28,248
33223,72014,Brooklyn,Williamsburg,Private room,80,3,200,1.86,262
34760,149929,Brooklyn,Fort Greene,Private room,44,8,27,1.05,280
35526,120291,Manhattan,West Village,Private room,156,4,79,0.74,307
36121,62165,Brooklyn,Prospect Heights,Private room,85,15,9,0.09,339
36133,142684,Brooklyn,Williamsburg,Private room,125,3,155,1.61,1
36442,137432,Brooklyn,Prospect Heights,Entire home/apt,115,15,4,0.05,269
36647,157798,Manhattan,East Harlem,Private room,69,2,34,0.32,10
36703,158284,Manhattan,West Village,Entire home/apt,225,45,134,1.24,312
36934,159370,Brooklyn,Williamsburg,Entire home/apt,125,6,27,0.25,189
38638,92788,Manhattan,Upper East Side,Entire home/apt,219,4,126,1.16,290
38663,165789,Brooklyn,Boerum Hill,Entire home/apt,475,3,23,0.27,230
39267,168417,Manhattan,Upper East Side,Entire home/apt,99,1,234,2.6,164
39282,168525,Brooklyn,Williamsburg,Private room,69,4,202,1.86,53
39593,110506,Queens,Sunnyside,Private room,79,30,28,0.26,126
39704,170510,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,309,2.86,3
40039,171851,Brooklyn,DUMBO,Private room,250,3,14,0.13,189
40453,174025,Manhattan,Upper East Side,Entire home/apt,250,3,4,0.08,365
41348,180083,Brooklyn,Gowanus,Entire home/apt,250,2,80,2.17,0
41513,181167,Manhattan,Harlem,Entire home/apt,80,3,2,0.04,0
42580,137814,Brooklyn,Clinton Hill,Private room,70,2,294,3.47,336
42729,11481,Brooklyn,Carroll Gardens,Entire home/apt,165,2,150,1.4,342
42882,185978,Staten Island,St. George,Private room,70,2,166,1.66,312
43957,177536,Brooklyn,Bushwick,Private room,50,2,47,0.94,37
44096,190409,Bronx,Highbridge,Private room,40,1,219,2.04,353
44161,193360,Brooklyn,Williamsburg,Entire home/apt,150,2,193,1.78,177
44212,72062,Manhattan,East Village,Private room,125,1,84,0.78,310
44221,193722,Manhattan,Financial District,Entire home/apt,196,3,114,1.06,0
44229,181376,Brooklyn,Fort Greene,Private room,110,2,213,2.0,321
44288,193637,Manhattan,West Village,Entire home/apt,170,3,86,0.8,246
44506,126607,Manhattan,Harlem,Entire home/apt,165,3,80,0.75,231
45393,201297,Manhattan,West Village,Entire home/apt,150,26,38,0.36,225
45542,202249,Manhattan,Harlem,Entire home/apt,100,2,18,1.79,0
45556,67778,Brooklyn,Fort Greene,Private room,65,2,206,1.92,0
45910,204539,Queens,Ridgewood,Entire home/apt,350,8,10,0.11,365
45936,867225,Manhattan,Morningside Heights,Private room,99,4,122,1.18,233
45940,204724,Brooklyn,Williamsburg,Entire home/apt,200,4,33,0.58,1
46544,8198,Brooklyn,Park Slope,Entire home/apt,150,5,52,0.5,18
46723,209460,Brooklyn,Bedford-Stuyvesant,Private room,90,3,126,1.17,343
46911,210746,Brooklyn,Prospect Heights,Private room,120,3,51,0.48,250
47199,212722,Manhattan,Upper East Side,Private room,75,3,199,1.85,326
47362,214148,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,26,30,0.29,364
47370,214287,Manhattan,Chelsea,Entire home/apt,125,3,3,0.03,0
47926,218404,Manhattan,Hell's Kitchen,Entire home/apt,275,1,41,0.38,299
48719,221873,Manhattan,Lower East Side,Entire home/apt,299,2,109,1.04,207
50447,9744,Brooklyn,South Slope,Entire home/apt,135,5,151,1.43,162
51438,236421,Manhattan,Upper East Side,Private room,130,14,0,,0
51485,236655,Manhattan,Lower East Side,Private room,83,1,285,2.69,7
51572,237329,Manhattan,Chelsea,Private room,123,1,375,3.52,328
51850,27848,Queens,Jamaica,Private room,55,2,52,0.49,365
53137,240360,Manhattan,Hell's Kitchen,Entire home/apt,195,5,10,1.01,0
53196,247432,Brooklyn,Bedford-Stuyvesant,Private room,80,2,11,0.48,0
53469,204539,Queens,Middle Village,Entire home/apt,98,30,33,0.31,240
53470,204539,Queens,Ridgewood,Private room,140,7,6,0.06,365
53477,204539,Queens,Middle Village,Entire home/apt,265,7,38,0.38,365
54158,10889,Brooklyn,Williamsburg,Entire home/apt,249,2,358,3.44,164
54453,255583,Manhattan,Hell's Kitchen,Shared room,105,6,10,0.09,363
54466,253385,Manhattan,Harlem,Private room,200,30,0,,365
54508,210746,Brooklyn,Prospect Heights,Private room,100,2,226,2.12,250
54544,256161,Manhattan,Harlem,Entire home/apt,121,1,104,1.0,247
54626,190409,Bronx,Highbridge,Private room,45,1,138,1.45,323
54860,258164,Manhattan,East Harlem,Private room,100,5,204,1.92,192
55467,260709,Brooklyn,Williamsburg,Entire home/apt,140,2,253,3.04,125
55498,262138,Brooklyn,Bedford-Stuyvesant,Private room,71,2,23,0.22,91
55668,88209,Manhattan,NoHo,Private room,130,2,115,1.17,75
55737,263414,Manhattan,West Village,Entire home/apt,199,5,129,1.22,286
55959,168525,Brooklyn,Williamsburg,Private room,69,4,82,1.13,60
55982,264928,Brooklyn,Fort Greene,Private room,68,3,37,0.35,0
56467,267593,Manhattan,East Village,Entire home/apt,130,1,204,2.04,192
56525,268014,Brooklyn,Greenpoint,Entire home/apt,195,2,69,0.65,58
56859,256161,Manhattan,Harlem,Private room,64,1,192,1.84,245
57166,272006,Queens,Ditmars Steinway,Entire home/apt,140,2,17,0.16,292
57297,199392,Brooklyn,Cobble Hill,Entire home/apt,159,2,222,2.12,279
57468,239208,Manhattan,East Village,Entire home/apt,189,3,205,1.96,0
57618,274557,Manhattan,Hell's Kitchen,Entire home/apt,250,3,94,0.96,3
57740,275459,Manhattan,East Village,Entire home/apt,239,3,7,0.07,351
57754,275578,Manhattan,Flatiron District,Entire home/apt,305,2,108,1.09,201
57874,276291,Manhattan,Harlem,Entire home/apt,155,3,222,2.1,232
58059,277379,Manhattan,Harlem,Private room,60,1,458,4.58,258
58062,277394,Brooklyn,Windsor Terrace,Private room,135,2,21,0.26,272
58467,279797,Manhattan,Roosevelt Island,Private room,120,7,17,0.3,341
59014,282927,Manhattan,Lower East Side,Entire home/apt,150,3,41,0.39,244
59121,204539,Queens,Ridgewood,Entire home/apt,140,14,1,0.01,365
59642,274782,Brooklyn,Greenpoint,Entire home/apt,135,2,69,0.67,12
59709,186084,Manhattan,Chinatown,Entire home/apt,250,4,18,0.18,265
59855,288031,Manhattan,Midtown,Entire home/apt,250,30,82,0.78,0
60164,289653,Manhattan,SoHo,Entire home/apt,500,4,94,0.99,329
60457,99212,Manhattan,Greenwich Village,Entire home/apt,225,5,10,0.1,91
60611,292204,Manhattan,East Harlem,Entire home/apt,125,28,183,1.83,365
60666,256161,Manhattan,Harlem,Private room,92,1,189,1.82,253
60673,249372,Manhattan,Harlem,Private room,175,2,1,0.11,365
60680,292630,Manhattan,East Village,Entire home/apt,99,2,127,1.22,320
60794,293394,Manhattan,Upper West Side,Entire home/apt,195,4,4,0.04,0
60948,126607,Manhattan,East Harlem,Entire home/apt,140,3,135,1.3,192
61167,295760,Manhattan,Little Italy,Entire home/apt,135,2,21,0.2,0
61224,291112,Manhattan,Chelsea,Entire home/apt,500,2,35,0.34,348
61406,297176,Manhattan,Harlem,Private room,80,14,10,2.21,0
61492,297769,Manhattan,Chinatown,Private room,120,4,171,1.8,353
61509,23619,Manhattan,Midtown,Entire home/apt,110,200,92,0.9,140
62095,281764,Brooklyn,East Flatbush,Entire home/apt,65,3,238,2.3,2
62427,303882,Manhattan,East Village,Entire home/apt,130,50,56,0.58,56
62430,197755,Brooklyn,Bushwick,Entire home/apt,99,3,111,2.13,68
62452,303939,Staten Island,Tompkinsville,Private room,36,2,193,1.85,360
62461,303939,Staten Island,Tompkinsville,Private room,37,2,147,1.44,0
62787,303939,Staten Island,Tompkinsville,Private room,37,2,177,1.71,320
62891,306545,Manhattan,East Village,Entire home/apt,175,3,185,1.78,326
62903,306605,Manhattan,Chelsea,Entire home/apt,205,9,62,0.7,76
62925,306739,Brooklyn,Greenpoint,Entire home/apt,285,3,124,1.22,279
63299,308875,Brooklyn,Williamsburg,Private room,59,2,181,1.77,15
63320,303939,Staten Island,Tompkinsville,Private room,36,2,333,3.19,340
63360,307962,Queens,Astoria,Entire home/apt,99,5,441,4.5,226
63546,308652,Brooklyn,Kensington,Private room,39,1,45,0.46,365
63573,310458,Brooklyn,Park Slope,Private room,60,14,9,0.09,0
63588,295128,Bronx,Clason Point,Private room,90,2,0,,349
63610,310670,Bronx,Eastchester,Entire home/apt,105,2,38,0.5,365
63657,170510,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,248,2.39,11
63693,306545,Manhattan,East Village,Entire home/apt,390,5,143,1.38,316
63719,311286,Brooklyn,Bedford-Stuyvesant,Private room,70,3,36,0.41,281
63913,312288,Manhattan,Inwood,Private room,75,7,0,,323
64000,312722,Brooklyn,Williamsburg,Private room,60,17,14,0.14,362
64015,146944,Manhattan,East Village,Entire home/apt,200,3,0,,0
64107,313317,Brooklyn,Crown Heights,Private room,100,3,279,2.69,301
64277,311286,Brooklyn,Bedford-Stuyvesant,Private room,70,4,18,0.22,189
64314,314256,Brooklyn,Crown Heights,Private room,110,6,50,3.55,0
64365,314582,Brooklyn,Crown Heights,Private room,60,2,227,2.27,287
64707,7310,Manhattan,Little Italy,Entire home/apt,90,14,1,0.16,14
64837,46978,Manhattan,East Village,Private room,68,2,203,1.96,86
65019,317809,Manhattan,Upper West Side,Entire home/apt,115,2,210,2.1,261
65268,319092,Brooklyn,Bedford-Stuyvesant,Private room,75,5,64,0.67,68
65556,320422,Brooklyn,Williamsburg,Private room,60,3,0,,0
65562,320450,Manhattan,East Village,Entire home/apt,129,7,5,0.15,231
65615,320761,Brooklyn,Williamsburg,Entire home/apt,130,10,49,0.48,152
65660,320538,Brooklyn,Williamsburg,Entire home/apt,95,4,132,1.27,46
65813,321756,Manhattan,Harlem,Private room,75,3,20,0.26,364
65834,321934,Brooklyn,Park Slope,Entire home/apt,175,2,11,0.11,246
66008,322884,Brooklyn,Carroll Gardens,Entire home/apt,190,3,51,0.57,288
66026,322716,Brooklyn,Crown Heights,Private room,49,21,15,0.15,331
66251,324460,Manhattan,East Village,Entire home/apt,212,3,67,1.31,51
66275,314941,Manhattan,Lower East Side,Private room,95,1,109,1.11,364
66451,325389,Brooklyn,Williamsburg,Entire home/apt,140,2,9,0.11,254
66718,136227,Manhattan,Harlem,Entire home/apt,135,6,187,1.87,189
66741,327673,Brooklyn,Park Slope,Entire home/apt,150,2,214,2.08,263
66974,329436,Brooklyn,Gowanus,Entire home/apt,190,3,69,0.79,258
67288,101597,Manhattan,East Harlem,Entire home/apt,124,28,22,0.26,103
67299,330347,Brooklyn,Williamsburg,Entire home/apt,135,30,56,0.56,42
67397,332189,Manhattan,Morningside Heights,Private room,122,3,93,0.93,246
68099,323517,Manhattan,Upper West Side,Private room,109,1,104,1.05,364
68305,338454,Manhattan,Harlem,Private room,85,30,64,0.68,318
68403,240427,Brooklyn,Bedford-Stuyvesant,Entire home/apt,145,3,127,1.25,72
68735,342054,Manhattan,Upper West Side,Entire home/apt,195,11,30,0.32,249
68765,282655,Brooklyn,Carroll Gardens,Entire home/apt,250,2,106,1.34,272
68900,343250,Brooklyn,Greenpoint,Private room,125,3,6,0.1,325
68974,281229,Manhattan,Little Italy,Entire home/apt,575,2,191,1.88,298
69894,352168,Manhattan,Upper West Side,Entire home/apt,150,30,48,0.55,35
69921,155689,Brooklyn,Bushwick,Private room,70,5,47,0.49,203
70095,353965,Manhattan,Inwood,Private room,90,2,120,1.27,132
70128,354330,Manhattan,East Village,Private room,65,3,52,0.63,5
70609,72062,Manhattan,East Village,Entire home/apt,500,2,48,0.48,297
71010,361855,Manhattan,Washington Heights,Entire home/apt,250,3,32,0.43,276
71248,363834,Manhattan,Chinatown,Entire home/apt,125,25,43,0.42,102
71366,364955,Manhattan,West Village,Entire home/apt,200,30,39,0.44,251
71384,365153,Brooklyn,Greenpoint,Entire home/apt,229,1,50,0.5,188
71812,369015,Bronx,Kingsbridge,Entire home/apt,90,30,4,0.35,346
72190,373085,Manhattan,Upper West Side,Entire home/apt,110,13,38,0.39,0
72265,340692,Brooklyn,Greenpoint,Private room,59,3,29,0.36,15
74073,211877,Brooklyn,Williamsburg,Entire home/apt,195,4,59,0.6,71
74240,389924,Brooklyn,Williamsburg,Entire home/apt,169,1,68,0.67,215
74333,331328,Manhattan,East Harlem,Entire home/apt,113,14,26,0.27,253
74404,391325,Manhattan,Harlem,Entire home/apt,250,14,31,0.31,78
74680,265109,Queens,Astoria,Entire home/apt,115,2,198,2.01,257
74860,394752,Brooklyn,Greenpoint,Private room,55,2,1,0.01,0
75193,308875,Brooklyn,Williamsburg,Private room,69,2,220,2.17,8
75635,401696,Manhattan,Lower East Side,Entire home/apt,150,3,286,2.81,191
76761,118971,Brooklyn,South Slope,Entire home/apt,169,2,398,3.97,182
77765,417504,Brooklyn,Greenpoint,Private room,179,3,36,0.36,79
77936,134355,Manhattan,Hell's Kitchen,Private room,150,3,36,0.36,49
78919,422561,Brooklyn,Boerum Hill,Entire home/apt,135,4,6,0.1,0
79067,425506,Brooklyn,Clinton Hill,Entire home/apt,350,6,14,0.3,156
79782,430188,Brooklyn,Williamsburg,Private room,120,14,76,0.76,343
80493,434987,Manhattan,East Village,Private room,71,2,182,1.81,200
80684,417504,Brooklyn,Greenpoint,Private room,349,3,8,0.09,60
80700,417504,Brooklyn,Greenpoint,Private room,349,3,7,0.07,60
80924,438133,Brooklyn,Park Slope,Entire home/apt,165,30,34,0.51,189
81739,417504,Brooklyn,Greenpoint,Private room,249,3,2,0.02,60
82549,448312,Brooklyn,Brooklyn Heights,Private room,100,3,66,0.68,0
82550,448312,Brooklyn,Brooklyn Heights,Entire home/apt,200,3,80,0.85,106
82638,449787,Manhattan,East Village,Entire home/apt,169,4,240,2.4,276
82928,451545,Brooklyn,Bedford-Stuyvesant,Entire home/apt,185,3,46,1.07,248
83243,453519,Brooklyn,Bushwick,Entire home/apt,65,2,228,2.27,194
83446,454756,Brooklyn,Fort Greene,Entire home/apt,130,35,5,0.05,135
83722,456638,Brooklyn,Williamsburg,Entire home/apt,199,30,8,0.11,30
83847,410094,Manhattan,East Village,Entire home/apt,225,2,33,0.33,0
84010,417504,Brooklyn,Greenpoint,Private room,179,3,13,0.14,81
84059,459054,Brooklyn,Crown Heights,Entire home/apt,150,5,5,0.05,0
84659,462776,Manhattan,East Village,Entire home/apt,139,1,388,3.88,142
84905,464506,Manhattan,Two Bridges,Private room,95,3,223,2.22,60
85094,322716,Brooklyn,Crown Heights,Entire home/apt,79,15,11,0.11,179
86215,327900,Manhattan,Lower East Side,Entire home/apt,150,2,151,1.51,52
89427,116599,Brooklyn,Clinton Hill,Entire home/apt,650,5,0,,365
89621,209460,Brooklyn,Bedford-Stuyvesant,Entire home/apt,90,3,218,2.26,324
93313,25183,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,75,0.76,237
94035,35375,Queens,Astoria,Private room,80,1,42,1.21,365
94209,503800,Brooklyn,Crown Heights,Entire home/apt,100,90,0,,365
94477,478395,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,2,370,3.74,204
94783,473113,Brooklyn,Crown Heights,Entire home/apt,120,5,104,1.04,272
95747,509341,Brooklyn,Williamsburg,Entire home/apt,140,7,13,0.13,0
95883,509918,Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,5,4,0.07,9
96471,116599,Brooklyn,Clinton Hill,Private room,165,4,11,0.11,365
98330,31374,Manhattan,Kips Bay,Entire home/apt,125,4,1,0.01,181
98663,520279,Manhattan,Chelsea,Entire home/apt,130,30,19,0.19,189
99070,522065,Manhattan,East Harlem,Shared room,65,7,131,1.31,0
99085,522164,Brooklyn,Fort Greene,Entire home/apt,123,30,15,0.15,189
100002,523218,Manhattan,Washington Heights,Private room,67,2,136,1.37,296
100184,526653,Queens,Queens Village,Private room,50,1,43,0.45,88
100186,526805,Brooklyn,Gowanus,Entire home/apt,130,7,98,0.99,35
101053,530032,Brooklyn,Williamsburg,Private room,100,3,31,0.31,0
102995,178043,Manhattan,Upper West Side,Entire home/apt,212,21,45,0.46,35
103161,465278,Brooklyn,Williamsburg,Entire home/apt,190,3,124,1.76,359
103311,417504,Brooklyn,Greenpoint,Private room,599,3,9,0.09,60
103806,251176,Manhattan,East Village,Entire home/apt,249,5,166,1.68,365
105469,547386,Queens,Rockaway Beach,Private room,70,27,13,0.13,335
105510,322716,Brooklyn,Crown Heights,Entire home/apt,100,30,15,0.16,282
106363,551055,Manhattan,Harlem,Private room,60,3,380,3.83,247
